file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,,,,,,,storage_fluxes,,,,,,vertical_advection_fluxes,,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,,variances,,,,,,,,covariances,,,,,custom_variables,,,,,,,,,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,co2_flux,qc_co2_flux,rand_err_co2_flux,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,ch4_flux,qc_ch4_flux,rand_err_ch4_flux,n2o_flux,qc_n2o_flux,rand_err_n2o_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,n2o_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,n2o_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,n2o_molar_density,n2o_mole_fraction,n2o_mixing_ratio,n2o_time_lag,n2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,un_n2o_flux,n2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,n2o_spikes,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,n2o_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,w/n2o_cov,data_size_irga75_mean,status_code_irga75_mean,ga_diag_code_irga75_mean,agc_mean,fast_t_mean,air_p_mean,cooler_v_mean,data_size_qcl_mean,status_code_qcl_mean,status_qcl_mean,h2o_mean,cell_t_mean,int_p_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CH-CHA_202101010100.csv,2021-01-01,01:30,1.0624,0,36000,36000,-0.614055E-02,1,0.129922E-02,-4.86259,0,1.72716,0.775589,1,0.480006,2.26671,0,0.360803,0.172895E-01,1,0.107003E-01,0.294351E-01,1,0.160177E-01,0.313314E-03,0,0.692319E-04,-9999,-9999,-9999,-9999,-9999,-9999,0.273427E-10,0.244095E-12,0.145485E-12,0.182556E-13,20.1244,481.806,483.887,0.200000,0,179.655,4.30119,4.31977,7.50000,0,0.107077,2.56358,2.57466,7.85000,0,0.134362E-01,0.321681,0.323070,0.950000,0,278.057,277.678,96559.5,1.20950,1007.54,0.239414E-01,0.112036E-02,0.323738E-02,414.865,841.686,0.267663E-02,49.2897,426.821,267.935,0.709712,0.575325,0.287969E-01,0.914067,0.122680E-12,0.135869E-14,0.914067,2.35563,143.473,39.0298,1.80536,-9999,0.712526E-01,0.134778,6.32178,0.317949,-6.26954,0.560016E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.601320E-02,1.02118,-4.63139,1.04338,0.616020,1.44162,1.76716,1.44162,0.137323E-01,1.44162,0.199250E-01,1.47730,0.212086E-03,1.47730,800000000,800000000,800000000,800000000,800000000,800100000,801110111,811110111,80101,80111,80,81,1,11,3,0,3,4,0,0,0.141130,0.113091,0.153351E-01,0.108749,0.650109E-02,3.94029,0.517049E-02,0.248487E-06,-0.380054E-02,0.176716E-02,0.137323E-01,0.479090E-03,0.509955E-05,16.0000,0.00000,248.000,50.0000,1.71497,95953.4,1.18198,22.0000,96.5022,0.502222,4.80276,304.652,4560.66
CH-CHA_202101010100.csv,2021-01-01,02:00,1.0833,0,36000,36000,0.975011E-02,1,0.555701E-03,-4.37838,1,0.831423,-0.972020,1,1.62031,1.91457,1,0.467800,-0.216753E-01,1,0.361315E-01,-0.675976E-03,1,0.161634E-02,0.175710E-03,1,0.368884E-04,0.548576,1.85828,-0.231317,0.414382E-01,-0.622243E-02,-0.208930E-04,-0.329889E-10,-0.348077E-12,-0.169379E-12,-0.221897E-13,19.9233,477.681,480.101,-0.450000,0,210.217,5.04017,5.06570,10.0000,0,0.102294,2.45261,2.46504,-1.00000,0,0.134012E-01,0.321308,0.322936,-0.100000,0,278.460,278.015,96559.5,1.20770,1007.94,0.239760E-01,-0.140456E-02,0.378811E-02,486.028,861.714,0.313664E-02,56.4025,375.686,270.040,-0.259273,0.410499,0.124360E-01,0.485682,0.394355E-13,-0.165580E-14,0.485682,1.23000,64.6769,122.277,1.46723,-9999,0.898516E-01,0.649835E-01,14.0806,0.142749,4.50441,0.400307E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.958949E-02,1.01675,-4.28892,1.03141,-0.643366,1.31366,1.66151,1.31366,-0.143465E-01,1.31366,-0.505990E-03,1.33595,0.131525E-03,1.33595,800000000,800000000,800000000,800000000,800000000,800101100,811110111,811110111,80100,80100,80,81,0,4,1,2,5,0,0,0,0.230386E-01,0.103020,0.390873E-02,0.237134E-01,0.183644E-01,69.4577,0.209203E-03,0.278744E-06,-0.352333E-02,0.166151E-02,-0.143465E-01,-0.121930E-04,0.316939E-05,16.0000,0.00000,248.000,50.0000,2.10124,95975.7,1.18572,22.0000,96.5066,0.506639,4.83135,304.651,4555.07
CH-CHA_202101010100.csv,2021-01-01,02:30,1.1041,0,36000,36000,-0.375454E-01,1,0.462086E-02,0.209376,1,0.187366,-9.16973,2,3.52818,-8.97761,1,1.71249,-0.204440,2,0.786611E-01,-0.448092E-01,1,0.810620E-02,-0.155450E-02,1,0.292013E-03,-0.315859,2.65208,-0.136059,0.591284E-01,-0.243154E-04,0.251605E-04,0.775538E-09,0.994480E-11,0.400155E-11,0.525054E-12,19.8293,475.255,478.169,9.40000,0,254.273,6.09425,6.13162,-0.400000,0,0.102313,2.45218,2.46722,6.40000,0,0.134248E-01,0.321757,0.323730,7.60000,0,278.359,277.821,96559.5,1.20806,1008.51,0.239673E-01,-0.132477E-01,0.458200E-02,587.477,850.115,0.379286E-02,69.1056,262.638,272.611,-0.157929,-0.117665,0.238889E-01,0.198387,-0.209366E-12,0.391107E-13,0.198387,1.51033,304.623,216.688,6.91609,-9999,0.176293,0.394458,-2224.37,-0.903627E-03,-0.228334E-01,-0.974816E-03,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.367410E-01,1.02189,-0.232819,1.02459,-7.59244,1.20133,-7.40255,1.20133,-0.169274,1.20133,-0.368650E-01,1.21550,-0.127890E-02,1.21550,800000000,800000000,800000000,800000000,800000000,801110110,811110111,811110111,80000,80000,80,81,5,0,5,25,0,0,0,0,0.275208,0.507604,0.610431E-02,0.142941E-01,0.736108E-01,178.505,0.936177E-03,0.138456E-05,-0.191095E-03,-0.740255E-02,-0.169274,-0.888964E-03,-0.308395E-04,16.0000,0.00000,247.837,48.9825,2.28797,95993.6,1.18693,22.0000,96.5087,0.508694,4.81087,304.625,4551.62
CH-CHA_202101010100.csv,2021-01-01,03:00,1.1249,0,36000,36000,0.606135E-03,2,0.638594E-03,-0.725234,0,0.204754,-3.74210,1,1.55956,1.56429,0,0.411820,-0.834409E-01,1,0.347750E-01,-0.130151E-01,2,0.341151E-02,0.491296E-03,0,0.429608E-04,0.215854,3.25497,-0.554757,0.725790E-01,0.186436E-02,-0.472574E-04,0.150513E-09,0.238996E-11,0.803884E-12,0.103795E-12,19.3991,465.357,468.821,0.100000,0,308.032,7.38926,7.44427,0.00000,0,0.103609,2.48545,2.50395,1.00000,0,0.133778E-01,0.320913,0.323302,0.750000,0,278.606,277.954,96559.5,1.20690,1009.22,0.239886E-01,-0.540697E-02,0.555074E-02,712.021,857.986,0.459918E-02,82.9875,145.965,275.275,-0.666634,0.843812E-01,0.308475E-01,0.672661,0.885248E-13,0.775879E-14,0.672661,1.62793,16.4655,172.786,2.62845,-9999,0.224104E-01,0.113424,1.31946,1.52335,0.193804,0.265687E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.570888E-03,1.06174,-0.740476,1.12380,-1.62093,2.27333,0.723428,2.27333,-0.361433E-01,2.27333,-0.551478E-02,2.36003,0.208173E-03,2.36003,800000000,800000000,800000000,800000000,800000000,800100010,811110111,811110111,80001,80011,80,81,0,3,8,1,2,18,0,0,0.884522E-01,0.135902,0.249380E-02,0.124436E-01,0.501970E-01,226.779,0.259366E-02,0.408047E-06,-0.607930E-03,0.723428E-03,-0.361433E-01,-0.133275E-03,0.503089E-05,16.0000,0.00000,247.000,43.7500,2.19713,96000.6,1.18529,22.0000,96.5044,0.504389,4.79597,304.604,4550.09
CH-CHA_202101010100.csv,2021-01-01,03:30,1.1458,0,36000,36000,0.300790E-03,2,0.123238E-02,0.378664,1,0.344323,-0.468009,0,0.175885,4.17182,1,0.994228,-0.104351E-01,0,0.392167E-02,0.105830E-01,1,0.407009E-02,0.618697E-03,1,0.128385E-03,-0.869126E-01,0.896221,0.151494,0.199828E-01,0.146078E-02,0.231509E-04,0.244967E-10,0.405389E-12,0.131444E-12,0.168172E-13,19.5133,468.060,471.714,0.500000E-01,0,322.920,7.74578,7.80624,0.100000,0,0.104704,2.51151,2.53111,10.0000,0,0.133960E-01,0.321327,0.323835,0.650000,0,278.584,277.900,96559.5,1.20697,1009.42,0.239867E-01,-0.676194E-03,0.581901E-02,746.290,854.789,0.482119E-02,87.3069,108.499,275.936,-0.284957,-0.794246E-01,0.813292E-02,0.295930,-0.276198E-13,0.125539E-14,0.295930,0.965246,353.228,195.574,1.57483,-9999,0.157864E-01,0.786980E-01,-0.883384,-2.27534,-0.809096,-0.196881E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.292829E-03,1.02719,0.345432,1.02902,-0.406119,1.18337,3.51105,1.18337,-0.905515E-02,1.18337,0.885762E-02,1.19479,0.517829E-03,1.19479,800000000,800100000,800000000,800000000,800110000,800111010,811110111,811110111,80010,80010,80,81,0,2,1,10,0,5,0,0,0.119708,0.358258E-01,0.186209E-02,0.170219E-01,0.813325E-01,1.84497,0.758120E-03,0.100163E-05,0.283528E-03,0.351105E-02,-0.905515E-02,0.214120E-03,0.125178E-04,16.0000,0.00000,247.000,43.7500,2.29690,96000.3,1.18714,22.0000,96.5003,0.500333,4.75580,304.596,4546.01
CH-CHA_202101010100.csv,2021-01-01,04:00,1.1666,0,36000,36000,0.150994E-02,1,0.636463E-03,-0.415066,1,0.190808,-0.169974,1,0.468319E-01,-0.657923,2,0.476857,-0.378957E-02,1,0.104412E-02,-0.125159E-02,1,0.220199E-02,-0.673741E-04,2,0.680167E-04,-0.136709,-0.268502E-01,-0.116650E-01,-0.598626E-03,-0.139968E-02,-0.478093E-05,-0.277476E-10,-0.458757E-12,-0.147473E-12,-0.190523E-13,19.5106,467.852,471.499,10.0000,0,322.573,7.73510,7.79540,-0.100000,0,0.103695,2.48654,2.50593,5.80000,0,0.133966E-01,0.321241,0.323745,10.0000,0,278.499,277.817,96559.5,1.20734,1009.41,0.239794E-01,-0.245564E-03,0.581276E-02,745.264,849.798,0.481454E-02,87.6989,104.534,275.916,0.381624,0.307557,0.104087E-01,0.490241,-0.113021E-12,-0.142218E-14,0.490241,1.23839,142.529,38.8660,1.21659,-9999,0.353644E-01,0.101396,9.06003,0.221854,2.44194,0.963066E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.148141E-02,1.01926,-0.407451,1.03734,-0.109780,1.37479,-0.459878,1.37479,-0.244755E-02,1.37479,-0.893437E-03,1.40087,-0.480946E-04,1.40087,800000000,800100000,800000000,800000000,800000010,801001010,811110111,811110111,80100,80100,80,81,0,0,2,7,18,50,0,0,0.656354E-01,0.135763,0.139472E-02,0.973852E-02,0.730069E-01,1.29449,0.824303E-03,0.856357E-06,-0.334333E-03,-0.459878E-03,-0.244755E-02,-0.215907E-04,-0.116225E-05,16.0000,0.00000,247.000,43.7500,2.24487,96000.4,1.18599,22.0000,96.5007,0.500722,4.75404,304.591,4539.36
CH-CHA_202101010100.csv,2021-01-01,04:30,1.1874,0,36000,36000,-0.466911E-02,1,0.100327E-02,0.113929,2,0.609944,0.289939,1,0.120035,-1.83409,1,0.608045,0.646428E-02,1,0.267621E-02,0.365461E-01,1,0.966581E-02,-0.384572E-03,1,0.105990E-03,0.245348E-01,0.585497E-02,0.814145E-01,0.130538E-03,0.670898E-02,0.393279E-05,-0.161066E-10,-0.265551E-12,-0.894459E-13,-0.110275E-13,19.5701,469.304,472.963,-1.00000,0,322.652,7.73743,7.79777,9.60000,0,0.108679,2.60621,2.62653,9.65000,0,0.133987E-01,0.321311,0.323817,-1.00000,0,278.514,277.832,96559.5,1.20727,1009.41,0.239807E-01,0.418885E-03,0.581419E-02,745.487,850.692,0.481599E-02,87.6331,105.204,275.921,0.968222E-02,0.239633,0.197319E-01,0.240638,0.164847E-12,-0.823025E-15,0.240638,1.50486,104.925,87.6863,4.70344,-9999,0.621892E-01,0.167742,-179.499,-0.111978E-01,0.392940,-0.150330E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.452609E-02,1.03160,0.124422,1.03196,0.238096,1.18789,-1.55209,1.18789,0.530842E-02,1.18789,0.304722E-01,1.19932,-0.320657E-03,1.19932,800000000,800100000,800000000,800000000,800000000,800100100,811110111,811110111,80101,81111,80,81,1,1,0,1,7,26,0,0,0.528885E-01,0.279906,0.268930E-02,0.251451E-01,0.321362E-01,0.862557,0.423493E-02,0.700111E-06,0.102099E-03,-0.155209E-02,0.530842E-02,0.736431E-03,-0.774942E-05,16.0000,0.00000,247.000,43.7500,2.27744,96000.3,1.18683,22.0000,96.5032,0.503250,4.79480,304.608,4533.97
CH-CHA_202101010100.csv,2021-01-01,05:00,1.2082,0,36000,36000,-0.155144E-02,1,0.688595E-03,-0.434338,0,0.202456,0.156327,2,0.162474,2.17228,0,0.402666,0.348531E-02,2,0.362236E-02,0.190087E-01,1,0.488131E-02,0.440983E-03,0,0.728746E-04,-0.223089E-01,0.908935E-01,0.171381,0.202647E-02,-0.139468E-02,0.356038E-04,0.290443E-10,0.477978E-12,0.158720E-12,0.197957E-13,19.6983,472.361,476.061,-0.150000,0,324.172,7.77358,7.83448,9.50000,0,0.107646,2.58133,2.60156,-0.500000,0,0.134257E-01,0.321946,0.324469,0.800000,0,278.504,277.818,96559.5,1.20731,1009.43,0.239798E-01,0.225848E-03,0.584157E-02,748.961,849.878,0.483849E-02,88.1258,100.917,275.986,0.176394,0.505915,0.119099E-01,0.535917,0.771692E-13,0.147446E-14,0.535917,1.35096,113.094,70.7782,1.27341,-9999,0.358474E-01,0.756534E-01,9.01774,0.222894,-2.77840,0.994200E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.152282E-02,1.01880,-0.412667,1.03672,0.126836,1.37001,1.60284,1.37001,0.282782E-02,1.37001,0.136147E-01,1.39619,0.315847E-03,1.39619,800000000,800010000,800000000,800000000,800000000,800001000,811110111,811110111,80001,80001,80,81,0,2,3,7,3,3,0,0,0.652187E-01,0.835374E-01,0.255076E-02,0.961356E-02,0.375165E-01,2.16147,0.226614E-02,0.806951E-06,-0.338612E-03,0.160284E-02,0.282782E-02,0.329029E-03,0.763315E-05,16.0000,0.00000,247.130,44.5637,2.40949,96000.2,1.18802,22.0000,96.5073,0.507306,4.82793,304.616,4528.88
CH-CHA_202101010100.csv,2021-01-01,05:30,1.2291,0,36000,36000,-0.986057E-02,1,0.163957E-02,3.96871,1,0.764175,-20.4798,1,13.2322,11.2463,1,3.05244,-0.456721,1,0.295091,-0.906714E-02,1,0.378952E-02,0.394396E-03,1,0.630222E-04,0.458125,-6.80266,0.336329,-0.151706,-0.183798E-02,0.170047E-04,-0.993417E-10,-0.105233E-11,-0.529260E-12,-0.669220E-13,19.9454,478.360,480.797,-0.200000,0,211.283,5.06729,5.09310,9.95000,0,0.106263,2.54855,2.56153,0.550000,0,0.134363E-01,0.322250,0.323891,0.550000,0,278.546,278.099,96559.5,1.20732,1007.96,0.239835E-01,-0.295955E-01,0.380731E-02,488.640,866.792,0.315352E-02,56.3733,378.152,270.112,-0.666300E-01,0.164103,0.204872E-01,0.178295,-0.194677E-12,-0.498068E-14,0.178295,1.21342,70.5602,112.098,6.59822,-9999,0.903732E-01,0.188436,-15.8063,-0.127164,-0.193786,-0.360865E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.948624E-02,1.03946,2.84525,1.03723,-17.1279,1.19613,9.38908,1.19613,-0.381970,1.19613,-0.750772E-02,1.20771,0.326566E-03,1.20771,800000000,800010000,800000000,800000100,800001100,801001100,811110111,811110111,80001,80001,80,81,3,3,1,3,32,10,0,0,0.795089E-01,0.293652,0.371193E-02,0.197740E-01,0.598696,5601.18,0.645822E-03,0.307471E-06,0.233806E-02,0.938908E-02,-0.381970,-0.180977E-03,0.787202E-05,16.0000,0.00000,249.324,58.2736,2.61657,96001.1,1.18952,22.0000,96.5084,0.508389,4.87055,304.615,4524.31
