file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,,,,,,,storage_fluxes,,,,,,vertical_advection_fluxes,,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,,variances,,,,,,,,covariances,,,,,custom_variables,,,,,,,,,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,co2_flux,qc_co2_flux,rand_err_co2_flux,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,ch4_flux,qc_ch4_flux,rand_err_ch4_flux,n2o_flux,qc_n2o_flux,rand_err_n2o_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,n2o_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,n2o_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,n2o_molar_density,n2o_mole_fraction,n2o_mixing_ratio,n2o_time_lag,n2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,un_n2o_flux,n2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,n2o_spikes,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,n2o_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,w/n2o_cov,data_size_irga75_mean,status_code_irga75_mean,ga_diag_code_irga75_mean,agc_mean,fast_t_mean,air_p_mean,cooler_v_mean,data_size_qcl_mean,status_code_qcl_mean,status_qcl_mean,h2o_mean,cell_t_mean,int_p_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CH-CHA_202005151900.csv,2020-05-15,19:30,136.8123,1,36000,36000,-0.614927E-02,1,0.284086E-02,-10.6421,0,2.08644,28.1605,0,3.47089,2.69735,0,0.751892,0.639852,0,0.788642E-01,-0.120233E-02,1,0.890570E-03,0.629716E-03,0,0.770813E-04,-9999,-9999,-9999,-9999,-9999,-9999,-0.535938E-10,-0.152992E-11,-0.248365E-12,-0.403878E-13,16.4768,423.732,428.920,-0.200000,0,470.357,12.0961,12.2442,0.00000,0,0.763568E-01,1.96366,1.98770,0.350000,0,0.124168E-01,0.319320,0.323230,1.65000,0,298.678,297.535,96559.5,1.12548,1012.22,0.257169E-01,0.414624E-01,0.847583E-02,1163.82,3043.81,0.753086E-02,38.2356,1879.99,282.361,0.108695,0.492076,0.781972E-02,0.503999,0.541917E-13,-0.325268E-14,0.503999,2.11804,109.261,77.5439,0.889000,-9999,0.739168E-01,0.117378,3.23035,0.622223,-0.377908,0.126378,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.597337E-02,1.02945,-8.95613,1.05919,17.8296,1.59684,1.84397,1.59684,0.405117,1.59684,-0.734685E-03,1.63652,0.384790E-03,1.63652,800001000,800000000,800000000,800000000,800000000,800111001,811110111,811110111,80000,80000,80,81,27,10,1,16,479,74,0,0,0.129286,0.853479E-01,0.201212E-01,0.519531E-01,0.142292E-01,122.411,0.108835E-04,0.179050E-06,-0.786152E-02,0.184397E-02,0.405117,-0.191243E-04,0.100163E-04,16.0000,0.00000,248.000,50.0000,14.5967,97324.1,1.39545,22.0000,96.5000,0.500000,9.08094,303.691,5346.13
CH-CHA_202005151900.csv,2020-05-15,20:00,136.8332,1,36000,36000,-0.502068E-02,0,0.778872E-03,-3.41138,1,4.30844,7.07973,0,2.32493,5.83132,0,1.64512,0.160703,0,0.527738E-01,-0.535113E-03,0,0.115011E-02,0.255243E-03,0,0.741428E-04,-1.56675,0.549624,0.426793,0.124759E-01,0.124706E-02,0.142365E-04,-0.754670E-10,-0.215530E-11,-0.347295E-12,-0.558472E-13,16.8499,431.868,437.261,3.55000,0,481.225,12.3339,12.4880,3.95000,0,0.775422E-01,1.98743,2.01225,2.55000,0,0.124693E-01,0.319592,0.323583,4.75000,0,297.673,296.512,96559.5,1.12926,1012.33,0.256303E-01,0.104136E-01,0.867167E-02,1186.61,2862.16,0.767904E-02,41.4586,1675.55,282.649,-0.285212,0.370760,0.244286E-01,0.468408,-0.120091E-12,-0.447879E-14,0.468408,1.42839,59.7031,127.570,2.98947,-9999,0.666781E-01,0.970674E-01,7.39730,0.271721,-0.481852,0.447539E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.492219E-02,1.02001,-2.96943,1.03881,5.18803,1.38899,4.27056,1.38899,0.117763,1.38899,-0.377975E-03,1.41574,0.180290E-03,1.41574,800000000,800000000,800000000,800000000,800100000,810101000,811100111,811110111,81011,81011,80,81,0,1,2,5,29,3,0,0,0.581680E-01,0.128898,0.706929E-02,0.461440,0.111675,108.595,0.682923E-04,0.278645E-06,-0.259751E-02,0.427056E-02,0.117763,-0.980815E-05,0.467839E-05,16.0000,0.00000,248.000,50.0000,12.6287,97370.1,1.36649,22.0000,96.5001,0.500056,9.19712,303.651,5360.37
CH-CHA_202005151900.csv,2020-05-15,20:30,136.8540,0,36000,36000,-0.130933E-02,2,0.691855E-03,-0.445143,1,1.32982,0.858426,1,0.460683,-2.74830,1,1.66536,0.194493E-01,1,0.104377E-01,0.759534E-02,1,0.838748E-02,0.325191E-03,1,0.267017E-03,-2.95392,-0.352788,2.21124,-0.799309E-02,0.328818E-02,0.145100E-03,-0.137502E-09,-0.353591E-11,-0.594915E-12,-0.935571E-13,18.6051,473.748,479.591,-1.00000,0,478.435,12.1826,12.3328,-1.00000,0,0.804965E-01,2.04971,2.07499,10.0000,0,0.126590E-01,0.322340,0.326315,9.90000,0,295.733,294.594,96559.5,1.13668,1012.19,0.254633E-01,0.126031E-02,0.862140E-02,1172.11,2547.28,0.758473E-02,46.0140,1375.18,282.466,-0.329746,0.615141E-01,0.212350E-01,0.336106,0.857488E-13,-0.739057E-14,0.336106,1.18448,33.4626,169.433,3.62233,-9999,0.339396E-01,0.110596,7.47551,0.268878,-0.518557,0.113997E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.128212E-02,1.02123,-0.390422,1.03961,0.630069,1.38991,-1.96634,1.38991,0.142754E-01,1.38991,0.536510E-02,1.41569,0.229705E-03,1.41569,800000000,800100000,800000000,800000000,800000000,810011011,811110111,811110111,81000,81001,80,81,0,0,2,9,0,0,0,0,0.103851,0.116479,0.863124E-03,0.535649,1.80936,75.9708,0.118462E-01,0.116750E-04,-0.339338E-03,-0.196634E-02,0.142754E-01,0.138292E-03,0.592092E-05,16.0000,0.00000,248.000,50.0000,10.2516,97399.8,1.32935,22.0000,96.5001,0.500111,9.29171,303.634,5370.11
CH-CHA_202005151900.csv,2020-05-15,21:00,136.8748,0,36000,36000,-0.235227E-02,1,0.759066E-03,-6.70691,1,1.67606,-15.2140,1,1.89985,48.3136,1,5.12416,-0.344341,1,0.429995E-01,0.411473E-01,1,0.723131E-02,0.226988E-02,1,0.247911E-03,-1.67854,-1.67776,0.233452,-0.379730E-01,0.198233E-04,-0.263331E-04,-0.136890E-09,-0.328265E-11,-0.586919E-12,-0.921405E-13,18.8518,478.152,483.699,-1.00000,0,452.069,11.4662,11.5992,-0.850000,0,0.808273E-01,2.05008,2.07386,9.15000,0,0.126891E-01,0.321843,0.325576,10.0000,0,294.577,293.508,96559.5,1.14119,1011.77,0.253637E-01,-0.223133E-01,0.814629E-02,1103.43,2382.84,0.713842E-02,46.3075,1279.41,281.573,-0.263523,0.455560E-01,0.300067E-01,0.269110,0.134436E-12,-0.726139E-14,0.269110,0.811480,30.9385,170.192,6.40199,-9999,0.454009E-01,0.614281E-01,1.18749,1.69265,0.440838,0.127943,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.220826E-02,1.06522,-6.35139,1.12996,-6.33500,2.31174,21.1316,2.31174,-0.143381,2.31174,0.172400E-01,2.38673,0.951041E-03,2.38673,800000000,800100000,800000000,800000000,800001110,810011111,811110111,811110111,81111,81111,80,81,0,0,0,3,9,21,0,0,0.584832E-01,0.628767E-01,0.149622E-02,0.272540,3.60497,258.451,0.466150E-02,0.454026E-05,-0.550082E-02,0.211316E-01,-0.143381,0.442326E-03,0.244008E-04,16.0000,0.00000,248.019,50.1179,8.87112,97400.1,1.31349,22.0000,96.5001,0.500083,9.17221,303.668,5372.61
CH-CHA_202005151900.csv,2020-05-15,21:30,136.8956,0,36000,36000,-0.170252E-02,1,0.155646E-03,-0.754856,2,0.627137,-2.77230,2,6.90684,-8.37136,1,5.16975,-0.626920E-01,2,0.156190,-0.305526E-01,1,0.728459E-02,-0.821650E-03,1,0.347617E-03,-1.37531,-4.36890,-0.704355,-0.987972E-01,0.538174E-02,0.353125E-03,-0.990680E-10,-0.204758E-11,-0.458408E-12,-0.699959E-13,18.3962,464.912,469.423,-1.00000,0,380.221,9.60903,9.70226,9.90000,0,0.851230E-01,2.15125,2.17212,1.80000,0,0.129977E-01,0.328481,0.331668,-0.950000,0,293.514,292.621,96559.5,1.14545,1010.73,0.252722E-01,-0.406244E-02,0.685159E-02,925.261,2255.55,0.598158E-02,41.0216,1330.28,279.002,-0.733403,-0.936357E-01,0.556335E-01,0.741447,0.165455E-12,-0.538524E-14,0.741447,1.42232,359.249,187.276,4.30316,-9999,0.385531E-01,0.911340E-01,6.45840,0.311223,0.272286,0.169120E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.166459E-02,1.02279,-0.837537,1.04630,-1.84136,1.47080,-5.64407,1.47080,-0.416400E-01,1.47080,-0.202874E-01,1.50599,-0.545589E-03,1.50599,800000000,800100000,800000000,800000000,800000000,800110110,811110111,811110111,80000,80100,80,81,0,0,6,4,0,0,0,0,0.671455E-01,0.112900,0.222266E-02,0.257812,8.98731,4897.49,0.954921E-02,0.258138E-04,-0.723423E-03,-0.564407E-02,-0.416400E-01,-0.517669E-03,-0.139216E-04,16.0000,0.00000,248.634,53.9653,8.09181,97400.2,1.30369,22.0000,96.5004,0.500444,8.97872,303.737,5365.86
CH-CHA_202005151900.csv,2020-05-15,22:00,136.9165,0,36000,36000,0.118833E-02,1,0.836308E-03,-0.963426,0,1.17949,6.72106,1,10.2044,7.35915,2,10.7786,0.151927,1,0.230667,0.216399E-02,1,0.135993E-02,0.462438E-03,1,0.193700E-03,-0.653231,-12.8053,-4.40683,-0.289459,-0.385379E-02,-0.613151E-04,-0.382596E-11,-0.418793E-13,-0.208045E-13,-0.327554E-14,15.1766,382.336,383.943,-1.00000,0,166.124,4.18509,4.20268,-0.250000,0,0.825259E-01,2.07903,2.08777,10.0000,0,0.129932E-01,0.327332,0.328708,9.85000,0,292.588,292.200,96559.5,1.14944,1007.77,0.251925E-01,0.984484E-02,0.299356E-02,403.682,2197.46,0.260436E-02,18.3704,1793.78,267.576,0.797454E-01,0.139572,0.633458E-02,0.160872,-0.668177E-13,-0.252096E-15,0.160872,1.09147,141.969,60.2583,2.25669,-9999,0.321533E-01,0.720645E-01,2.93281,0.685350,-0.143344,0.258668E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.115140E-02,1.03208,-0.647733,1.05865,4.29652,1.56263,4.69998,1.56263,0.971210E-01,1.56263,0.135519E-02,1.59681,0.289600E-03,1.59681,800000000,800100000,800000000,800001100,800000000,800000100,811110111,811110111,80111,80111,80,81,0,1,3,4,0,0,0,0,0.536276E-01,0.886235E-01,0.187787E-02,0.918443E-01,9.37743,5772.94,0.108950E-03,0.249758E-05,-0.559173E-03,0.469998E-02,0.971210E-01,0.342840E-04,0.732639E-05,16.0000,0.00000,251.062,69.1405,7.15382,97406.4,1.28859,22.0000,96.5007,0.500667,8.57543,303.760,5337.42
CH-CHA_202005151900.csv,2020-05-15,22:30,136.9373,0,36000,36000,-0.115298E-01,1,0.153352E-02,-19.5314,1,3.01482,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.290792,1,0.521240E-01,0.104244E-01,1,0.166808E-02,-0.822560,-9999,-9999,-9999,0.704651E-02,0.127361E-03,-9999,-9999,-0.129266E-11,-0.192795E-12,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,0,0.880268E-01,2.21066,2.21066,10.0000,0,0.131289E-01,0.329711,0.329711,0.750000,0,291.670,291.670,96559.5,1.15335,1005.52,0.251135E-01,-9999,-9999,-9999,2125.96,-9999,-9999,-9999,-9999,-0.669091E-01,0.732695E-01,0.135915E-01,0.100150,0.194399E-12,-0.146849E-13,0.100150,1.08692,24.4752,132.402,7.79980,-9999,0.999838E-01,0.996518E-01,4.34703,0.462384,-9999,0.168443,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.111366E-01,1.03531,-18.4337,1.05955,-9999,-9999,-9999,-9999,-9999,-9999,0.183236,1.58698,0.656872E-02,1.58698,800000000,800100000,800000000,800001100,800000111,800011111,811110011,811110011,80000,80100,80,81,0,0,3,1,0,0,0,0,0.755924E-01,0.121872,0.183916E-02,0.306682,-9999,-9999,0.112148,0.112575E-03,-0.158951E-01,-9999,-9999,0.460169E-02,0.164963E-03,16.0000,0.00000,255.000,93.7500,6.02884,97429.6,1.28186,22.0000,96.5009,0.500917,8.30918,303.738,5310.67
CH-CHA_202005151900.csv,2020-05-15,23:00,136.9581,0,36000,36000,-0.199020E-02,1,0.404997E-03,-1.35342,1,1.16759,-9999,-9999,-9999,-36.2585,2,17.1715,-9999,-9999,-9999,0.170483E-01,2,0.163669E-01,0.869514E-03,1,0.538172E-03,-1.98447,-9999,-9999,-9999,0.164963E-02,0.286165E-04,0.376920E-10,-9999,0.126051E-12,0.185726E-13,26.8042,670.209,670.209,-1.00000,0,-9999,-9999,-9999,-9999,0,0.896395E-01,2.24134,2.24134,-1.00000,0,0.132077E-01,0.330243,0.330243,9.85000,0,290.397,290.397,96559.5,1.15840,1005.48,0.250039E-01,-9999,-9999,-9999,1962.32,-9999,-9999,-9999,-9999,-0.673488,0.852812E-01,0.377097E-01,0.679913,0.408255E-14,0.140620E-14,0.679913,1.49285,11.8028,172.783,3.17940,-9999,0.414494E-01,0.875952E-01,4.46938,0.449726,-9999,0.280335E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.194021E-02,1.02576,-1.28619,1.05227,-9999,-9999,-23.6188,1.53061,-9999,-9999,0.108666E-01,1.56888,0.554226E-03,1.56888,800000000,800100000,800000000,800000100,800100010,800100011,811110111,811110111,81000,81000,80,81,0,0,0,3,0,0,0,0,0.646504E-01,0.107587,0.295341E-02,0.226972,36.3509,-9999,0.249898E-01,0.222972E-04,-0.110425E-02,-0.236188E-01,-9999,0.271706E-03,0.138578E-04,16.0000,0.00000,255.000,93.7500,5.33227,97432.1,1.27457,22.0000,96.5012,0.501250,8.04944,303.741,5312.20
CH-CHA_202005151900.csv,2020-05-15,23:30,136.9790,0,36000,36000,-0.126516E-02,2,0.613403E-03,-3.23486,1,1.33903,-9999,-9999,-9999,-25.4746,2,5.55434,-9999,-9999,-9999,-0.906063E-02,1,0.216557E-02,0.312900E-03,1,0.430142E-04,-0.690228,-9999,-6.74234,-9999,-0.221299E-02,-0.175357E-03,0.186061E-09,-9999,0.751146E-12,0.111631E-12,21.8301,545.006,545.006,-1.00000,0,-9999,-9999,-9999,-9999,0,0.881301E-01,2.20024,2.20024,7.40000,0,0.130974E-01,0.326987,0.326987,5.35000,0,289.956,289.956,96559.5,1.16017,1005.47,0.249658E-01,-9999,-9999,-9999,1908.13,-9999,-9999,-9999,-9999,-1.00919,-0.172506,0.423614E-01,1.02471,0.272491E-13,0.852315E-14,1.02471,2.09712,356.404,189.700,2.36928,-9999,0.330226E-01,0.853416E-01,0.945581,2.12568,-9999,0.839752E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.118040E-02,1.07180,-2.83052,1.14285,-9999,-9999,-10.2091,2.47483,-9999,-9999,-0.349277E-02,2.59411,0.120620E-03,2.59411,800000000,800000000,800000000,800000100,800000010,800110110,811100111,811110111,80001,80111,80,81,6,6,5,3,0,0,0,0,0.980618E-01,0.666763E-01,0.594506E-02,0.171818,3.28208,-9999,0.261346E-03,0.282902E-06,-0.242647E-02,-0.102091E-01,-9999,-0.872000E-04,0.301137E-05,16.0000,0.00000,255.000,93.7500,5.70899,97432.9,1.27882,22.0000,96.5042,0.504250,8.49312,303.796,5365.32
