file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,storage_fluxes,,,vertical_advection_fluxes,,gas_densities_concentrations_and_timelags,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,variances,,,,,,covariances,,,custom_variables,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,ch4_flux,qc_ch4_flux,rand_err_ch4_flux,n2o_flux,qc_n2o_flux,rand_err_n2o_flux,H_strg,ch4_strg,n2o_strg,ch4_v-adv,n2o_v-adv,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,n2o_molar_density,n2o_mole_fraction,n2o_mixing_ratio,n2o_time_lag,n2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_ch4_flux,ch4_scf,un_n2o_flux,n2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,ch4_spikes,n2o_spikes,u_var,v_var,w_var,ts_var,ch4_var,n2o_var,w/ts_cov,w/ch4_cov,w/n2o_cov,data_size_qcl_mean,status_code_qcl_mean,status_qcl_mean,cell_t_mean,int_p_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[W+1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8aa,8U,[#],[#],[#],[#],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,[m+1K+1s-1],--,--,--,--,--,--,--
CH-CHA_201902181900.csv,2019-02-18,19:30,49.8123,0,36000,36000,0.285293E-02,1,0.147576E-02,7.32293,1,1.66063,-0.255015E-01,1,0.330310E-01,-0.393095E-03,1,0.172238E-03,-9999,-9999,-9999,-0.108961E-12,-0.146589E-13,0.101067,2.51133,2.51133,9.30000,0,0.135969E-01,0.337860,0.337860,5.25000,0,288.590,288.590,96559.5,1.16566,1005.44,0.248483E-01,-9999,-9999,-9999,1748.89,-9999,-9999,-9999,-9999,0.467605,0.306406,0.226614E-01,0.559511,-0.258354E-13,-0.107811E-14,0.559511,1.49456,156.079,33.2355,2.32124,-9999,0.494721E-01,0.165630,-1.40443,-1.43118,-9999,-0.126298,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.280348E-02,1.01764,7.15947,1.02283,-0.213171E-01,1.19630,-0.328593E-03,1.19630,800009900,800109911,800009900,800009911,800009911,800119911,811109911,811109911,80000,80000,80,80,0,0,0,9,0,0,0.179031,0.149859,0.236982E-02,0.567875,0.172301,0.362278E-04,0.610875E-02,-0.529693E-03,-0.816498E-05,21.8544,96.8184,0.765726,293.917,3561.93
CH-CHA_201902181900.csv,2019-02-18,20:00,49.8331,0,36000,36000,-0.538092E-02,2,0.183906E-02,-4.47277,1,3.11143,0.741026E-01,1,0.182757E-01,0.140618E-02,1,0.283159E-03,-1.22222,0.548510E-02,0.489828E-04,0.319796E-12,0.412096E-13,0.106132,2.63010,2.63010,5.00000,0,0.136764E-01,0.338921,0.338921,9.95000,0,287.813,287.813,96559.5,1.16880,1005.42,0.247814E-01,-9999,-9999,-9999,1663.61,-9999,-9999,-9999,-9999,0.181009,0.272425,0.117156E-01,0.327287,0.137678E-12,0.301319E-14,0.327287,1.71729,134.018,56.3985,2.05140,-9999,0.678512E-01,0.241030,5.93190,0.338846,-9999,0.560954E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.525390E-02,1.02418,-4.27507,1.04624,0.488294E-01,1.51758,0.926596E-03,1.51758,800009900,800109911,800009900,800009911,800019901,800119911,811109911,811119911,80000,80000,80,81,5,0,2,3,0,0,0.233635,0.246267,0.215770E-02,0.965932,0.506311E-01,0.105769E-04,-0.363791E-02,0.121006E-02,0.229623E-04,21.8311,96.8267,0.765604,293.814,3564.72
CH-CHA_201902181900.csv,2019-02-18,20:30,49.8540,0,36000,36000,-0.342939E-02,1,0.129726E-02,-4.81274,1,2.80245,0.260237,1,0.507244E-01,0.191829E-02,1,0.396504E-03,-0.760079,0.134308E-01,0.864023E-04,-0.796044E-12,-0.928910E-13,0.118046,2.92044,2.92044,5.05000,0,0.137749E-01,0.340788,0.340788,9.00000,0,287.331,287.331,96559.5,1.17077,1005.41,0.247399E-01,-9999,-9999,-9999,1612.53,-9999,-9999,-9999,-9999,0.379514,0.197051,0.240792E-01,0.428298,-0.106759E-12,-0.674351E-14,0.428298,1.34944,166.606,27.4392,3.22290,-9999,0.541220E-01,0.270776,2.79783,0.718415,-9999,0.755447E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.331416E-02,1.03477,-4.49900,1.06974,0.145048,1.79414,0.106920E-02,1.79414,800009900,800109911,800009900,800009911,800009911,810119911,811109911,811119911,80011,80011,80,81,9,0,1,4,0,0,0.130178,0.408875,0.249820E-02,0.566065,0.389550,0.616134E-04,-0.382209E-02,0.358847E-02,0.264518E-04,21.8228,96.8298,0.765660,293.754,3566.13
CH-CHA_201902181900.csv,2019-02-18,21:00,49.8748,0,36000,36000,-0.104951E-01,1,0.344904E-02,-19.7630,1,4.75729,-0.661663E-01,1,0.191299E-01,-0.477960E-03,2,0.125259E-03,-1.03947,-0.117652E-01,0.416217E-04,-0.494570E-12,-0.633698E-13,0.108037,2.66669,2.66669,5.15000,0,0.138429E-01,0.341686,0.341686,5.15000,0,286.673,286.673,96559.5,1.17345,1005.40,0.246832E-01,-9999,-9999,-9999,1545.04,-9999,-9999,-9999,-9999,0.532892,0.446482,0.362453E-01,0.696157,0.541300E-13,-0.457779E-14,0.696157,1.97205,139.122,39.9579,2.98444,-9999,0.945715E-01,0.248535,3.63508,0.552945,-9999,0.177129,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.101996E-01,1.02898,-18.6640,1.05889,-0.393522E-01,1.68139,-0.284265E-03,1.68139,800009900,800009911,800009900,800009911,800009901,810009901,811109911,811109911,80000,80000,80,80,0,0,1,3,0,0,0.379821,0.113340,0.390806E-02,0.651152,0.109668E-01,0.611732E-05,-0.158198E-01,-0.971337E-03,-0.701656E-05,21.9217,96.7939,0.765554,293.721,3566.04
CH-CHA_201902181900.csv,2019-02-18,21:30,49.8956,0,36000,36000,0.138143E-02,2,0.124970E-02,-0.227247,2,0.460021,0.954158E-01,1,0.210447E-01,-0.633523E-03,1,0.316034E-03,-0.703218,-0.463415E-03,-0.134981E-03,0.471883E-12,0.601737E-13,0.107800,2.65671,2.65671,5.80000,0,0.137464E-01,0.338779,0.338779,7.90000,0,286.228,286.228,96559.5,1.17528,1005.39,0.246449E-01,-9999,-9999,-9999,1500.88,-9999,-9999,-9999,-9999,0.518267,0.768969,0.414267E-01,0.928240,0.784441E-14,0.437741E-14,0.928240,2.04646,130.868,56.0210,2.55792,-9999,0.342842E-01,0.128452,15.0615,0.133453,-9999,0.560956E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.136118E-02,1.01488,-0.220619,1.03004,0.705637E-01,1.35219,-0.468515E-03,1.35219,800009900,800009911,800009900,800009911,800009911,800009911,811109911,811119911,80000,80000,80,80,0,0,2,2,0,0,0.143457,0.110408,0.303934E-02,0.407712,0.179814,0.603923E-04,-0.186711E-03,0.173904E-02,-0.115465E-04,21.8722,96.8116,0.765376,293.710,3567.77
CH-CHA_201902181900.csv,2019-02-18,22:00,49.9165,0,36000,36000,0.375817E-02,1,0.788930E-03,2.70910,1,0.679131,-0.171072E-02,2,0.114319E-02,-0.210027E-03,1,0.824560E-04,0.632028E-01,-0.457640E-02,0.107773E-03,-0.275937E-14,-0.367931E-15,0.103786,2.55815,2.55815,9.90000,0,0.138387E-01,0.341101,0.341101,5.55000,0,286.268,286.268,96559.5,1.17511,1005.39,0.246484E-01,-9999,-9999,-9999,1504.80,-9999,-9999,-9999,-9999,0.416633,0.509867,0.271876E-01,0.659004,0.434569E-13,-0.265872E-16,0.659004,1.56719,133.791,50.7464,2.36444,-9999,0.565521E-01,0.680134E-01,-5.67026,-0.354481,-9999,-0.405474E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.369909E-02,1.01597,2.65125,1.02182,-0.143130E-02,1.19522,-0.175723E-03,1.19522,800009900,800109911,800009900,800009911,800019911,800019911,811119911,811119911,80011,80011,80,80,0,0,3,3,0,0,0.676292E-01,0.672772E-01,0.112043E-02,0.124752,0.254962E-03,0.315454E-05,0.224407E-02,-0.352793E-04,-0.433128E-05,21.8928,96.8041,0.765269,293.710,3568.01
CH-CHA_201902181900.csv,2019-02-18,22:30,49.9373,0,36000,36000,0.577966E-02,1,0.148882E-02,6.00102,1,1.97000,0.308938E-01,1,0.168957E-01,-0.329222E-03,1,0.185516E-03,-0.989146,0.659325E-03,-0.656289E-04,-0.118874E-12,-0.156980E-13,0.104589,2.57232,2.57232,8.90000,0,0.138115E-01,0.339690,0.339690,6.25000,0,285.644,285.644,96559.5,1.17768,1005.38,0.245946E-01,-9999,-9999,-9999,1444.54,-9999,-9999,-9999,-9999,0.442880,0.376220,0.227153E-01,0.581550,0.506734E-13,-0.113658E-14,0.581550,1.45375,146.816,40.3474,2.23854,-9999,0.700548E-01,0.101042,-4.86593,-0.413076,-9999,-0.723488E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.568181E-02,1.01722,5.86855,1.02257,0.258311E-01,1.19600,-0.275270E-03,1.19600,800009900,800109911,800009900,800009911,800009911,800019911,811109911,811119911,80000,80000,80,81,0,0,5,4,0,0,0.139544,0.607880E-01,0.175246E-02,0.341652,0.318257,0.751617E-04,0.495650E-02,0.635306E-03,-0.677018E-05,21.8606,96.8156,0.765196,293.709,3568.93
CH-CHA_201902181900.csv,2019-02-18,23:00,49.9581,0,36000,36000,-0.242217E-01,1,0.405646E-02,-14.6675,2,4.84179,0.341085,1,0.444578E-01,0.327082E-02,1,0.499559E-03,-0.786478,0.448264E-02,0.673377E-04,-0.257189E-11,-0.328786E-12,0.108687,2.66849,2.66849,8.30000,0,0.138944E-01,0.341135,0.341135,7.35000,0,285.149,285.149,96559.5,1.17972,1005.37,0.245520E-01,-9999,-9999,-9999,1398.23,-9999,-9999,-9999,-9999,-0.604771E-02,0.677444E-01,0.653917E-02,0.683274E-01,0.770796E-13,-0.236632E-13,0.683274E-01,1.06724,91.3707,95.1014,5.49181,-9999,0.143289,0.179973,17.0354,0.117989,-9999,0.863056E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.233141E-01,1.03893,-14.0800,1.04172,0.251062,1.35857,0.240755E-02,1.35857,800009900,800109911,800009900,800009911,800109911,800119911,811119911,811119911,80011,80011,80,81,0,0,0,0,0,0,0.230227,0.125968,0.375028E-02,0.430128,0.107386,0.198026E-04,-0.118713E-01,0.616408E-02,0.591101E-04,21.8194,96.8304,0.765074,293.702,3570.04
CH-CHA_201902181900.csv,2019-02-18,23:30,49.9790,0,36000,36000,0.135015E-02,2,0.134630E-02,1.19881,1,0.612430,-0.144754E-01,1,0.600791E-02,-0.364656E-03,1,0.909381E-04,0.249651,0.321741E-02,0.264483E-04,-0.942807E-13,-0.117682E-13,0.111438,2.73755,2.73755,8.40000,0,0.139098E-01,0.341702,0.341702,5.30000,0,285.306,285.306,96559.5,1.17907,1005.37,0.245655E-01,-9999,-9999,-9999,1412.79,-9999,-9999,-9999,-9999,0.112501,0.432629,0.129089E-01,0.447204,-0.121868E-12,-0.846033E-15,0.447204,1.77073,106.245,75.4236,1.65412,-9999,0.338392E-01,0.189684,-2.74527,-0.732169,-9999,-0.298856E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.132316E-02,1.02040,1.17005,1.02458,-0.120770E-01,1.19858,-0.304239E-03,1.19858,800009900,800109911,800009900,800009911,800009911,810019911,810119911,811119911,80011,80011,80,81,0,0,1,6,0,0,0.271661,0.106509,0.119677E-02,0.226802,0.648868E-01,0.198462E-04,0.987049E-03,-0.296679E-03,-0.747379E-05,21.9889,96.7689,0.764869,293.689,3570.04
