file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,storage_fluxes,,,vertical_advection_fluxes,,gas_densities_concentrations_and_timelags,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,variances,,,,,,covariances,,,custom_variables
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,ch4_flux,qc_ch4_flux,rand_err_ch4_flux,n2o_flux,qc_n2o_flux,rand_err_n2o_flux,H_strg,ch4_strg,n2o_strg,ch4_v-adv,n2o_v-adv,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,n2o_molar_density,n2o_mole_fraction,n2o_mixing_ratio,n2o_time_lag,n2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_ch4_flux,ch4_scf,un_n2o_flux,n2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,ch4_spikes,n2o_spikes,u_var,v_var,w_var,ts_var,ch4_var,n2o_var,w/ts_cov,w/ch4_cov,w/n2o_cov,data_size_qcl_mean,status_code_qcl_mean,status_qcl_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[W+1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8u/v/w/ts/co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8co2/h2o/ch4/n2o,8aa,8U,[#],[#],[#],[#],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,[m+1K+1s-1],--,--,--,--,--
CH-CHA_201907181900.csv,2019-07-18,19:30,199.812,1,36000,36000,0.217232E-03,1,0.255605E-03,0.461033,1,0.285058,0.161787E-02,2,0.171602E-02,-0.163592E-04,2,0.865697E-04,-9999,-9999,-9999,-0.559101E-14,-0.933963E-15,0.273037E-02,1.92928,1.92928,1.30000,1,0.456101E-03,0.322282,0.322282,1.35000,1,305.973,295.577,96652.0,1.13078,1016.36,0.254255E-01,-9999,0.138410E-01,1888.03,2705.44,0.122402E-01,69.7864,817.412,289.753,0.112186,0.360071,-0.370375E-02,0.377161,-0.167230E-13,-0.204771E-14,0.377161,0.845991,117.192,72.6948,-0.562658,-9999,0.138603E-01,0.259140E-01,-0.492557,-4.08075,-9999,0.289424E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.212367E-03,1.02291,0.449261,1.02620,0.156968E-02,1.03070,-0.159804E-04,1.02370,800009900,800109900,800009900,800009911,800009900,800009900,811119911,811119911,80011,80011,80,80,1,0,2,5,0,0,0.166493E-01,0.344407E-01,0.737915E-03,0.327125E-01,0.550508E-03,0.251197E-05,0.390905E-03,0.407050E-04,-0.414405E-06,22.0000,96.5081,0.508097
CH-CHA_201907181900.csv,2019-07-18,20:00,199.833,1,36000,36000,0.695922E-03,2,0.599173E-03,-3.42499,1,0.796705,-0.161852E-02,2,0.803424E-03,0.228446E-03,1,0.657240E-04,-2.75817,-0.784578E-03,0.129775E-03,-0.201149E-14,-0.342073E-15,0.271065E-02,1.91196,1.91196,1.30000,1,0.460971E-03,0.325146,0.325146,1.35000,1,305.196,293.796,96685.0,1.13786,1016.54,0.252637E-01,-9999,0.141999E-01,1925.32,2426.11,0.124795E-01,79.3583,500.790,290.061,0.221811,0.448801,0.130528E-02,0.500623,-0.454465E-13,-0.742070E-15,0.500623,0.930699,123.056,63.7000,0.149388,-9999,0.247307E-01,0.378678E-01,0.376739,5.33525,-9999,-0.119732,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.611250E-03,1.13852,-2.69428,1.27121,-0.106276E-02,1.52294,0.151487E-03,1.50802,800009900,800109900,800009900,800009900,800009900,810009900,811119911,811119911,80001,80001,80,81,0,0,0,0,0,0,0.495775E-01,0.249109E-01,0.124716E-02,0.845367E-01,0.820852E-04,0.117555E-05,-0.232932E-02,-0.273947E-04,0.390489E-05,22.0000,96.5056,0.505639
CH-CHA_201907181900.csv,2019-07-18,20:30,199.854,0,36000,36000,-0.859692E-02,1,0.962497E-03,4.44833,1,1.84599,0.398293E-02,1,0.343263E-02,-0.382575E-03,1,0.137033E-03,-2.43080,0.120816E-02,0.305443E-04,0.847240E-14,0.142403E-14,0.275390E-02,1.93848,1.93848,1.30000,1,0.462872E-03,0.325817,0.325817,1.35000,1,304.354,292.235,96721.0,1.14478,1015.97,0.251201E-01,-9999,0.136011E-01,1834.33,2202.37,0.118810E-01,83.2888,368.042,289.300,0.737252E-01,0.280114,0.117651E-01,0.289892,-0.106825E-12,0.307651E-14,0.289892,1.35030,119.772,75.2543,2.32596,-9999,0.866585E-01,0.869975E-01,-12.4813,-0.161041,-9999,0.441351E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.836606E-02,1.02759,4.32174,1.02929,0.387906E-02,1.02678,-0.374558E-03,1.02140,800009900,800109900,800009900,800009900,800019900,810019910,811119911,811119911,80000,80000,80,81,3,0,2,9,0,0,0.553656E-01,0.117037,0.159181E-02,0.289327,0.856680E-03,0.205759E-05,0.371583E-02,0.993261E-04,-0.959084E-05,22.0000,96.5031,0.503111
CH-CHA_201907181900.csv,2019-07-18,21:00,199.875,0,36000,36000,-0.884544E-02,1,0.133236E-02,-12.3228,1,2.73842,0.146488E-01,2,0.421313E-02,0.306699E-03,1,0.180838E-03,-2.14733,0.192674E-02,0.515430E-04,0.424745E-13,0.701153E-14,0.282189E-02,1.98055,1.98055,1.30000,1,0.465827E-03,0.326942,0.326942,1.35000,1,303.331,290.863,96764.0,1.15085,1015.74,0.249911E-01,-9999,0.134140E-01,1800.61,2020.86,0.116558E-01,89.1013,220.247,289.010,-0.202627E-01,0.140707,0.158117E-01,0.143035,0.451863E-13,0.150518E-13,0.143035,0.787020,87.5842,98.1946,6.34667,-9999,0.876700E-01,0.747154E-01,4.66623,0.430755,-9999,-0.120242,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.857621E-02,1.03139,-11.6743,1.05555,0.106816E-01,1.37141,0.224273E-03,1.36753,800009900,800109900,800009900,800009900,800009910,800019910,811109911,811109911,80000,80000,80,81,2,1,0,8,0,0,0.684225E-01,0.790785E-01,0.192986E-02,0.309100,0.834933E-03,0.170109E-05,-0.998690E-02,0.272006E-03,0.571108E-05,22.0000,96.5016,0.501556
CH-CHA_201907181900.csv,2019-07-18,21:30,199.896,0,36000,36000,0.188308E-03,2,0.330708E-03,-1.84459,0,0.738807,0.215428E-02,0,0.163656E-02,-0.791115E-04,2,0.465826E-04,-1.46051,0.250636E-02,-0.104509E-04,0.168160E-14,0.269965E-15,0.290602E-02,2.03509,2.03509,1.30000,1,0.466534E-03,0.326715,0.326715,1.35000,1,302.633,289.933,96795.0,1.15517,1015.38,0.249032E-01,-9999,0.130273E-01,1743.11,1905.40,0.112774E-01,91.4824,162.294,288.503,0.172555,0.284894,0.166083E-02,0.333081,0.709979E-13,0.578661E-15,0.333081,0.984175,128.052,58.7975,0.285694,-9999,0.127676E-01,0.449129E-01,0.962938E-01,20.8736,-9999,-0.123172,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.136577E-03,1.37877,-1.07323,1.71873,0.135936E-02,1.58478,-0.502489E-04,1.57439,800009900,800109900,800009900,800009900,800009900,800109900,811119911,811119911,80010,80010,80,81,0,0,1,21,0,0,0.311748E-01,0.578369E-01,0.813813E-03,0.106433,0.527947E-03,0.261789E-05,-0.914988E-03,0.344733E-04,-0.127430E-05,22.0000,96.5015,0.501500
CH-CHA_201907181900.csv,2019-07-18,22:00,199.917,0,36000,36000,-0.484115E-01,1,0.539497E-02,10.3396,1,3.67223,-0.208944,1,0.372951E-01,-0.214938E-02,1,0.523563E-03,0.155475,0.276292E-02,0.124843E-03,-0.394038E-13,-0.619546E-14,0.299708E-02,2.09522,2.09522,1.30000,1,0.471231E-03,0.329432,0.329432,1.35000,1,302.091,290.032,96824.0,1.15501,1015.53,0.249042E-01,-9999,0.132181E-01,1769.24,1917.41,0.114442E-01,92.2725,148.168,288.735,-0.642344E-01,-0.730616E-03,0.141714E-01,0.657831E-01,0.167793E-12,-0.131474E-13,0.657831E-01,1.73419,114.777,180.652,12.4405,-9999,0.204731,0.162558,-70.8480,-0.283706E-01,-9999,0.430567E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.447266E-01,1.08239,9.69401,1.06660,-0.202930,1.02963,-0.209002E-02,1.02840,800009900,800109900,800009900,800009900,800009900,810009910,811119911,811119911,80011,80011,80,81,0,0,0,0,0,0,0.176031,0.142225,0.685998E-02,0.161124,0.888945E-02,0.270718E-05,0.826463E-02,-0.514788E-02,-0.530192E-04,22.0000,96.5020,0.502028
CH-CHA_201907181900.csv,2019-07-18,22:30,199.937,0,36000,36000,-0.136849,1,0.189464E-01,-23.3013,1,9.21649,-0.873676E-01,1,0.454352E-01,-0.179565E-02,1,0.606700E-03,-1.25990,0.141693E-01,0.530433E-04,-0.492984E-13,-0.678301E-14,0.344152E-02,2.40264,2.40264,1.30000,1,0.473522E-03,0.330582,0.330582,1.35000,1,301.375,289.232,96843.0,1.15874,1015.12,0.248307E-01,-9999,0.127375E-01,1700.20,1822.24,0.109925E-01,93.3029,122.037,288.115,0.760930E-01,0.219635,0.371375E-01,0.235391,-0.197183E-12,-0.143246E-13,0.235391,2.57220,117.221,70.8912,9.07746,-9999,0.343659,0.503126,148.691,0.135180E-01,-9999,-0.576434E-01,0,58.3234,-8.85080,20.0205,49.8540,76.0304,106.634,159.757,-0.134250,1.01936,-22.7474,1.02435,-0.706525E-01,1.23658,-0.151209E-02,1.18753,800009900,800009900,800009900,800009900,800009900,800109900,801109911,811109911,80001,80001,80,81,0,0,10,4,0,0,0.668306,0.314148,0.237983E-01,0.373620,0.922343E-02,0.127554E-05,-0.193388E-01,-0.178570E-02,-0.382170E-04,22.0000,96.5020,0.502028
CH-CHA_201907181900.csv,2019-07-18,23:00,199.958,0,36000,36000,-0.574986E-02,2,0.267392E-02,-5.33461,0,1.23651,0.417832E-02,2,0.302760E-01,-0.475764E-04,2,0.910113E-04,-0.252032E-01,0.137555E-01,0.106237E-03,-0.127514E-13,-0.157154E-14,0.387260E-02,2.70103,2.70103,1.30000,1,0.477276E-03,0.332887,0.332887,1.35000,1,301.252,289.216,96857.0,1.15897,1015.13,0.248257E-01,-9999,0.127519E-01,1702.03,1820.38,0.110028E-01,93.4987,118.348,288.132,0.381435,0.365660,0.211539E-01,0.528817,-0.281811E-14,-0.329272E-14,0.528817,1.85400,148.503,43.7903,2.29257,-9999,0.704357E-01,0.231097,5.59248,0.359411,-9999,-0.643750E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.561879E-02,1.02333,-5.09743,1.04653,0.310506E-02,1.34565,-0.357251E-04,1.33174,800009900,800009900,800009900,800009900,800009900,800009910,811109911,811109911,80000,80000,80,80,7,0,8,2,0,0,0.254041,0.200847,0.730538E-02,0.174320,0.236305E-01,0.416632E-06,-0.433272E-02,0.784641E-04,-0.902763E-06,22.0000,96.5032,0.503250
CH-CHA_201907181900.csv,2019-07-18,23:30,199.979,0,36000,36000,-0.411864E-02,2,0.164008E-02,-9.37732,1,1.90849,-0.339023E-01,1,0.272081E-01,0.162206E-03,1,0.109424E-03,0.181096,-0.709703E-03,0.122385E-05,-0.327388E-13,-0.405833E-14,0.385286E-02,2.68563,2.68563,1.30000,1,0.477604E-03,0.332914,0.332914,1.35000,1,301.185,289.331,96869.0,1.15868,1015.09,0.248325E-01,-9999,0.126955E-01,1695.19,1833.79,0.109569E-01,92.4417,138.603,288.070,0.477689,0.239925,0.237835E-01,0.535085,-0.805318E-14,-0.849726E-14,0.535085,2.30276,135.236,26.6687,2.54752,-9999,0.596204E-01,0.260969,1.92959,1.04167,-9999,-0.133727,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.394675E-02,1.04355,-8.62006,1.08785,-0.228850E-01,1.48142,0.110651E-03,1.46592,800009900,800009900,800009900,800009900,801009900,801109900,811109911,811119911,80010,80010,80,81,4,0,12,8,0,0,0.192534,0.324739,0.466380E-02,0.223110,0.364944E-01,0.771910E-06,-0.732897E-02,-0.578415E-03,0.279667E-05,22.0000,96.5046,0.504639
